,date,day,month,year,Mon,Tue,Wed,Thu,Fri,Sat,Sun,pressure,temperature,humidity,windspeed,wind_direction,maximum_windspeed_x,maximum_wind_direction,rainfall,volume,level,alarms_count,price,D+1,D+3,D+5,D+7
7413,2021-05-20,20,05,2021,0,0,1,0,0,0,0,969.9173640079024,25.96948687081933,76.31170750191316,1.835638568753192,160.72423474543575,8.529447799412997,205.31069085480456,0.0498723204250124,123929.0,0,0.0,12.1,13.1,27.3,18.2,23.0
7414,2021-05-21,21,05,2021,0,0,0,1,0,0,0,970.0794899980764,26.09598764872021,77.98760801916082,1.7221267085520533,166.0188956148789,8.323645091966712,214.135726972276,1.5591133004926108,111483.0,0,0.0,13.1,25.6,22.4,18.2,21.2
7415,2021-05-22,22,05,2021,0,0,0,0,1,0,0,969.0341137849648,25.890092587001003,79.30402177650646,1.5602871565708205,171.4368974253463,7.747640701186925,217.9350132283642,0.0436426029175125,87454.0,0,0.0,25.6,27.3,18.2,23.0,20.0
7416,2021-05-23,23,05,2021,0,0,0,0,0,1,0,969.594933457096,26.09697783290264,79.66959554699827,1.396024861488853,152.84673349092006,7.3684874402996545,213.8351367579436,1.6550360455404631,122517.0,0,0.0,27.3,22.4,18.2,21.2,20.2
7417,2021-05-25,25,05,2021,1,0,0,0,0,0,0,971.0677731732054,25.0513199313758,82.20368786197862,1.5524961792278238,126.58511854248977,7.554595589901019,182.682157788383,4.462310945629595,161263.0,0,0.0,22.4,18.2,23.0,20.0,23.0
7418,2021-05-26,26,05,2021,0,1,0,0,0,0,0,970.1839761191956,25.56834120797154,81.3706273055138,1.5853930695715228,161.56711526916737,7.99189599154892,216.89086335805567,1.4678755937474348,133176.0,0,0.0,18.2,18.2,21.2,20.2,21.3
7419,2021-05-27,27,05,2021,0,0,1,0,0,0,0,969.9214556609304,26.28094349929724,77.07111830387716,1.8878480613882167,166.1301267257958,8.772215406861795,221.9130120756912,0.0832602091320501,103042.0,0,0.0,18.2,23.0,20.0,23.0,18.7
7420,2021-05-28,28,05,2021,0,0,0,1,0,0,0,969.884933457096,26.319726080332025,77.99121542958042,1.91700846804623,170.92378267124795,9.48189120310646,216.7826866907512,0.384790143901119,94126.0,0,0.0,23.0,21.2,20.2,21.3,18.3
7421,2021-05-29,29,05,2021,0,0,0,0,1,0,0,969.1529723231477,24.91366050656153,84.40760887220337,1.688811746734755,147.12542201551022,8.564666304671647,198.7440440394346,5.850099779252613,164825.0,0,0.0,21.2,20.0,23.0,18.7,15.0
7422,2021-05-30,30,05,2021,0,0,0,0,0,1,0,968.0302878061378,23.59920305621748,90.2841263642128,1.571551585136571,135.06962414375764,8.137630926492234,186.4576569216088,70.32744008687267,166166.0,0,0.0,20.0,20.2,21.3,18.3,16.6
7423,2021-06-01,01,06,2021,1,0,0,0,0,0,0,970.0840783786384,24.362561613880995,87.58755810438035,1.2602219466472913,122.43268871832716,7.1383336432479405,189.2415859168513,18.7223092013165,144131.0,0,0.0,20.2,23.0,18.7,15.0,17.6
7424,2021-06-02,02,06,2021,0,1,0,0,0,0,0,970.3541933211671,25.56974488001818,83.07641004905982,1.476968122878238,155.69070353571593,7.603490688484434,203.1099490067785,3.735684100752423,131634.0,0,0.0,23.0,21.3,18.3,16.6,18.9
7425,2021-06-04,04,06,2021,0,0,0,1,0,0,0,967.3605972620538,25.754199537077312,83.3744812515951,1.808823623699256,148.6939876079655,8.656415139195236,194.2943680203555,31.48144499178982,168120.0,1,11.0,21.3,18.7,15.0,17.6,14.8
7426,2021-06-05,05,06,2021,0,0,0,0,1,0,0,967.1534581832138,23.469919461993427,91.04282121906776,1.6861886470036305,140.1035876710303,9.191476180746754,191.49730573843985,68.52134646962233,179519.0,1,11.0,18.7,18.3,16.6,18.9,15.2
7427,2021-06-06,06,06,2021,0,0,0,0,0,1,0,968.8992724102214,22.556804600707512,92.12198102804922,1.69936864378123,123.77824674903422,8.547837511845703,173.14259874637966,74.61822660098522,173418.0,0,0.0,18.3,15.0,17.6,14.8,21.0
7428,2021-06-08,08,06,2021,1,0,0,0,0,0,0,971.1744323485094,24.555299850823825,84.61970492542943,1.4209403062833554,114.2112143032929,7.764439560451858,174.22278654540952,12.463524590163937,203231.0,0,0.0,15.0,16.6,18.9,15.2,15.1
7429,2021-06-09,09,06,2021,0,1,0,0,0,0,0,969.8588585780176,24.854298401268743,83.38334966482797,1.4036369161286926,111.6273929528179,7.451376654894493,173.30363074628545,9.057786885245902,138080.0,0,0.0,16.6,17.6,14.8,21.0,15.1
7430,2021-06-10,10,06,2021,0,0,1,0,0,0,0,968.8280389058864,25.183806597990056,82.59482507466404,1.4387188833418072,121.85034377249004,7.353853311699858,191.8788242289115,7.858360655737705,109657.0,0,0.0,17.6,18.9,15.2,15.1,15.5
7431,2021-06-11,11,06,2021,0,0,0,1,0,0,0,969.5872192337554,25.58103755574186,81.32326549003633,1.48773527678443,131.44542573970315,7.550593089142551,185.0329993973076,3.3241803278688526,119038.0,0,0.0,18.9,14.8,21.0,15.1,17.6
7432,2021-06-12,12,06,2021,0,0,0,0,1,0,0,971.5201700534276,25.355955588528744,83.84621630970847,1.445768063669676,133.03395032986708,8.115140590666678,189.693867354082,13.092950819672131,192738.0,0,0.0,14.8,15.2,15.1,15.5,21.3
7433,2021-06-13,13,06,2021,0,0,0,0,0,1,0,970.7915306808936,25.641051791419667,83.02376535578748,1.4185393540661388,153.02279202392114,7.009250125682213,215.411183189162,5.135878489326765,174973.0,0,0.0,15.2,21.0,15.1,17.6,16.8
7434,2021-06-14,14,06,2021,0,0,0,0,0,0,1,968.3028433731552,25.973021243639145,80.09426341495092,1.743629775911523,173.88294823841198,7.947330865285791,219.7495169318966,0.2175697865353038,128693.0,0,0.0,21.0,15.1,15.5,21.3,16.9
7435,2021-06-17,17,06,2021,0,0,1,0,0,0,0,968.7328468515448,26.10383072085802,79.05000858590527,2.0295870588481155,163.71873514157457,8.69950234249188,208.9727790678573,2.6701149425287354,96289.0,0,0.0,15.1,15.1,17.6,16.8,21.7
7436,2021-06-18,18,06,2021,0,0,0,1,0,0,0,967.8994456886584,26.33026519768057,78.7277434349494,2.008897403675702,166.211345979013,8.6075907125522,214.9053756168757,2.080623973727422,148701.0,0,0.0,15.1,15.5,21.3,16.9,21.5
7437,2021-06-19,19,06,2021,0,0,0,0,1,0,0,966.3078200728946,25.872958136925234,81.3503464615195,2.0218694890615803,161.5561735652199,8.914149360290983,205.5555547220148,13.253694581280788,153571.0,0,0.0,15.5,17.6,16.8,21.7,26.7
7438,2021-06-20,20,06,2021,0,0,0,0,0,1,0,965.3381977412032,25.44586454086612,83.74607716759503,1.843544365908871,152.47407175898016,8.443193200796884,195.6550963758102,28.50188834154352,124260.0,0,0.0,17.6,21.3,16.9,21.5,21.9
7439,2021-06-22,22,06,2021,1,0,0,0,0,0,0,966.9996365494868,23.693637344387284,90.26215654627548,1.6535775748490138,147.55799647246857,8.822475889040089,210.41663436719227,51.06003289473684,120371.0,0,0.0,21.3,16.8,21.7,26.7,21.6
7440,2021-06-23,23,06,2021,0,1,0,0,0,0,0,968.3876037675204,23.49129696301886,90.126468698634,1.458452160676113,128.01325589391973,8.111808759063088,172.34138462432978,19.01735197368421,136686.0,0,0.0,16.8,16.9,21.5,21.9,22.4
7441,2021-06-24,24,06,2021,0,0,1,0,0,0,0,968.5075189196843,23.6356839168924,88.91038225753417,1.5314863144633832,133.28286018926255,7.796102943163136,188.13405582730604,19.160693270033203,111272.0,0,0.0,16.9,21.7,26.7,21.6,22.8
7442,2021-06-25,25,06,2021,0,0,0,1,0,0,0,968.542672908301,24.020533182242804,87.57646909316313,1.4919249047970096,141.74105937225542,7.430543807760467,202.32877426546847,18.153550412890347,91924.0,0,0.0,21.7,21.5,21.9,22.4,24.5
7443,2021-06-26,26,06,2021,0,0,0,0,1,0,0,969.6898382009672,24.571764709336403,86.23656761533061,1.6603978112009503,149.86092800936544,7.871804720232244,203.04341728044807,8.003524448636387,127489.0,0,0.0,21.5,26.7,21.6,22.8,33.1
